image,caption_id,avg_rating,avg_distance
1056338697_4f7d7ce270.jpg,2549968784_39bfbe44f9.jpg#2,1.0,1.185865255967076
1056338697_4f7d7ce270.jpg,2718495608_d8533e3ac5.jpg#2,1.3333333333333333,1.0948730651537013
1056338697_4f7d7ce270.jpg,3181701312_70a379ab6e.jpg#2,1.3333333333333333,1.1771469286880534
1056338697_4f7d7ce270.jpg,3207358897_bfa61fa3c6.jpg#2,1.6666666666666667,1.0790366443320243
1056338697_4f7d7ce270.jpg,3286822339_5535af6b93.jpg#2,1.3333333333333333,1.1255990775290674
1056338697_4f7d7ce270.jpg,3360930596_1e75164ce6.jpg#2,1.0,1.266986288422236
1056338697_4f7d7ce270.jpg,3545652636_0746537307.jpg#2,1.0,1.2640742318861915
1056338697_4f7d7ce270.jpg,434792818_56375e203f.jpg#2,1.3333333333333333,1.1336291042212494
106490881_5a2dd9b7bd.jpg,1425069308_488e5fcf9d.jpg#2,1.0,1.208035298879603
106490881_5a2dd9b7bd.jpg,1714316707_8bbaa2a2ba.jpg#2,2.0,1.0544745454970563
106490881_5a2dd9b7bd.jpg,2140182410_8e2a06fbda.jpg#2,2.0,1.0406081324193226
106490881_5a2dd9b7bd.jpg,2398605966_1d0c9e6a20.jpg#2,1.0,1.1877481278551798
106490881_5a2dd9b7bd.jpg,2479652566_8f9fac8af5.jpg#2,1.0,1.1634957802702093
106490881_5a2dd9b7bd.jpg,3119076670_64b5340530.jpg#2,1.0,1.1526998570342653
106490881_5a2dd9b7bd.jpg,317488612_70ac35493b.jpg#2,1.0,1.1823889745187988
106490881_5a2dd9b7bd.jpg,493621130_152bdd4e91.jpg#2,1.0,1.1701889798361533
1082379191_ec1e53f996.jpg,1287475186_2dee85f1a5.jpg#2,1.0,1.0547247101746797
1082379191_ec1e53f996.jpg,1536774449_e16b1b6382.jpg#2,2.0,1.141113037161101
1082379191_ec1e53f996.jpg,2472980433_210ec62874.jpg#2,1.3333333333333333,1.2161768347284903
1082379191_ec1e53f996.jpg,2893374123_087f98d58a.jpg#2,1.3333333333333333,1.2439056240080149
1084040636_97d9633581.jpg,2358554995_54ed3baa83.jpg#2,1.0,1.2034436625689522
1084040636_97d9633581.jpg,2544426580_317b1f1f73.jpg#2,1.0,1.152077917076167
1084040636_97d9633581.jpg,256085101_2c2617c5d0.jpg#2,2.6666666666666665,0.9110693788489852
1084040636_97d9633581.jpg,3385593926_d3e9c21170.jpg#2,1.6666666666666667,1.0695957362546684
1084040636_97d9633581.jpg,3396157719_6807d52a81.jpg#2,1.6666666666666667,1.0373810468279498
1084040636_97d9633581.jpg,542179694_e170e9e465.jpg#2,1.3333333333333333,1.1091804185314331
1096395242_fc69f0ae5a.jpg,1425069308_488e5fcf9d.jpg#2,2.0,1.1105541503547949
1096395242_fc69f0ae5a.jpg,191003285_edd8d0cf58.jpg#2,1.0,1.2443042156661392
1096395242_fc69f0ae5a.jpg,2370481277_a3085614c9.jpg#2,1.6666666666666667,1.0036186110680234
1096395242_fc69f0ae5a.jpg,2577972703_a22c5f2a87.jpg#2,1.0,1.1726775321431244
1096395242_fc69f0ae5a.jpg,3388330419_85d72f7cda.jpg#2,2.333333333333333,1.1852117066846561
1107246521_d16a476380.jpg,2274992140_bb9e868bb8.jpg#2,1.0,1.14392337756304
1107246521_d16a476380.jpg,2410320522_d967f0b75c.jpg#2,2.6666666666666665,0.9179343301385756
1107246521_d16a476380.jpg,293327462_20dee0de56.jpg#2,2.333333333333333,0.9690349530537997
1107246521_d16a476380.jpg,3287549827_04dec6fb6e.jpg#2,1.0,1.2065469801229862
1107246521_d16a476380.jpg,3365783912_e12c3510d8.jpg#2,1.0,1.2604871117939571
1107246521_d16a476380.jpg,3582742297_1daa29968e.jpg#2,3.0,0.9842706855223332
1119015538_e8e796281e.jpg,229862312_1a0ba19dab.jpg#2,3.0,0.7478283529584827
1119015538_e8e796281e.jpg,2445283938_ff477c7952.jpg#2,1.0,1.2315207258614285
1119015538_e8e796281e.jpg,2510020918_b2ca0fb2aa.jpg#2,1.0,1.1743925725280808
1119015538_e8e796281e.jpg,2534502836_7a75305655.jpg#2,3.0,0.5832967811692447
1119015538_e8e796281e.jpg,348380010_33bb0599ef.jpg#2,2.6666666666666665,0.8982325193166341
1119015538_e8e796281e.jpg,387830531_e89c192b92.jpg#2,2.6666666666666665,0.9220038967286535
1119015538_e8e796281e.jpg,416106657_cab2a107a5.jpg#2,4.0,0.6567388598881723
